"","3MIN","7.5MIN","15MIN","30MIN","60MIN","110MIN","2.5H","5H","0MIN"
"YER060W-A",0.48950183,-0.41650017,-0.51330004,-0.69600071,-1.0289991,-1.0302008,-0.71659971,-0.94790134,0
"YER061C",-0.61750096,-0.44109958,-0.46860107,-0.58519984,-0.89199886,-0.98009886,-0.86789964,-1.0017987,0
"YER062C",-0.1679007,-0.028300115,-0.075000184,-0.58620014,-1.1960985,-1.4129999,-1.3314016,-1.3689013,0
"YER063W",-0.81399902,-0.96659885,-0.45739921,-0.38850087,-0.30389932,0.23690279,0.28549692,0.34960306,0
"YER064C",0.10689769,-0.014299938,-0.50449926,-0.48740092,-0.90750026,-1.1464993,-1.1304002,-1.2799002,0
"YER065C",-1.2060991,-1.6686984,-2.0045025,-3.4725997,-3.7555006,-4.0125004,-4.0736993,-4.1218004,0
"YER066C-A",-0.27260053,-0.30729964,-0.31889981,-0.39690092,-0.31179994,-0.43889973,-0.31709955,-0.43219952,0
"YER066W",-0.65920077,-0.94050074,-1.1543004,-1.2727016,-0.98770023,-0.92390067,-0.84699891,-1.0035997,0
"YER067W",-1.6264999,-1.8794994,-2.0723978,-2.5791026,-3.1810971,-3.7420992,-3.6603007,-3.7493003,0
"YER068W",0.15599527,0.1048063,0.14059544,0.19840614,-0.12150064,-0.13300026,-0.17730085,-0.20719961,0
"YER069W",0.64669723,1.1912973,0.62459692,-1.4225011,-2.3864985,-2.3694976,-2.3737983,-2.2630021,0
"YER070W",0.9416998,0.7857012,0.70529674,1.3640008,2.9966003,2.4899,2.6958001,2.359999,0
"YER071C",0.02000074,0.007496929,0.061596497,0.23800417,0.17929447,0.088996375,0.06430345,0.167602,0
"YER072W",-0.012500127,-0.12690026,-0.074099296,0.061098749,-0.27660046,-0.51199923,-0.38450083,-0.54860054,0
"YER073W",0.96140107,1.902502,2.0556017,1.5172001,0.77020321,-0.34950011,-0.2778995,-0.10120037,0
"YER074W",1.3533007,1.4990014,0.72839946,1.0952966,0.94679822,1.3943001,1.5402009,1.520201,0
