"","3MIN","7.5MIN","15MIN","30MIN","60MIN","110MIN","2.5H","5H","0MIN"
"YAL001C",-0.68660089,-0.63439928,-0.58910103,-0.81159908,-0.73300123,-0.66120023,-0.67789879,-0.6424007,0
"YAL002W",0.068602027,0.073395244,-0.032499353,-0.030399679,-0.22139947,-0.20260014,-0.26959915,-0.22130023,0
"YAL003W",2.1573995,1.8105007,2.2915004,1.6112999,2.1882996,2.4074996,2.5598001,2.501299,0
"YAL004W",0.5099998,0.47299717,0.62089603,0.89830124,0.93579917,1.0246034,0.97499912,0.94520315,0
"YAL005C",-0.78490046,-0.91150015,-2.1169986,-2.1575988,-1.1784008,0.71579675,0.70380061,0.97100086,0
"YAL007C",-0.027499963,0.082893301,0.26459648,0.80549883,2.2574995,2.1795015,2.2590012,2.1335997,0
"YAL008W",-0.89980007,-1.2720012,-1.1653988,-1.1518011,-1.5637017,-1.2068016,-1.3485005,-1.0022986,0
"YAL009W",-0.060299499,-0.016100538,0.089294749,0.26009794,0.25350526,0.51649933,0.44060144,0.57740224,0
"YAL010C",-0.008200458,0.18510536,0.40299498,0.58000073,1.0161968,1.1597002,1.1307003,1.1907981,0
"YAL011W",0.034497464,-0.00780006,-0.061700656,-0.044099524,-0.1784008,-0.20739948,-0.13870045,-0.18219995,0
"YAL012W",2.6046004,2.5280011,2.4445001,1.7535018,1.5533998,1.8235986,1.9113004,1.6236,0
"YAL013W",0.039503409,0.52679999,0.53239676,0.46109893,-0.019499365,-0.026400479,-0.22609986,-0.25390054,0
"YAL014C",0.24109577,0.1479058,0.1349963,0.14649882,0.12890045,0.24579987,0.21489569,0.17730551,0
"YAL015C",0.62869895,0.9595031,0.87519815,0.42499731,0.32820457,0.35589583,0.38059648,0.49499923,0
"YAL016W",-1.403,-1.3930007,-1.1003015,-1.0799995,-0.85069901,-0.39009945,-0.48320016,-0.39380037,0
"YAL017W",-1.763298,-2.1608982,-1.9554016,-2.6876043,-2.9317007,-1.9895009,-1.9888021,-1.9920008,0
"YAL018C",-0.078300139,-0.091600558,-0.043100287,-0.10179939,-0.011900689,-0.031199967,0.005198751,-0.037100109,0
"YAL019W",0.84830144,1.0271965,0.7883015,0.77380227,0.5051999,0.038703063,0.10980183,0.16599552,0
"YAL020C",0.091097246,0.39850361,0.31879694,0.15990039,0.20700573,0.043498496,-0.025400206,-0.074899888,0
"YAL021C",0.39589636,0.73199996,0.65900203,1.0172022,0.96609818,0.99659845,0.70749829,0.84110362,0
"YAL022C",0.046099863,0.032199606,0.17840233,0.11549941,-0.084399557,0.049798027,0.050703678,0.053903732,0
"YAL023C",1.1150998,1.4026021,1.5420995,2.0693,2.1371986,1.9870006,1.9593992,1.9241987,0
"YAL024C",1.062101,1.251501,1.3288996,1.518802,1.7972994,1.3751006,1.4424021,1.1952972,0
"YAL025C",0.94179744,0.99899698,0.875497,0.84930276,0.6211024,0.10350435,0.12900599,0.18050435,0
"YAL026C",0.67419848,0.7446003,0.81819613,0.91869917,1.2775028,1.4007019,1.4291017,1.4042982,0
"YAL027W",-0.24589925,-0.13509955,-0.090600144,0.14039912,0.092099164,0.40650402,0.3478017,0.6544997,0
"YAL028W",-1.0486987,-1.1848017,-1.1111995,-1.0943996,-1.3746996,-1.0851998,-1.3005017,-0.8474012,0
"YAL029C",1.0020976,0.84919865,1.0987968,1.3441013,1.3548978,1.4202991,1.4039003,1.2910023,0
"YAL030W",-0.5548009,-0.70719941,-0.68720009,-1.2214987,-1.2045988,-0.64890091,-0.81820029,-0.47150069,0
"YAL031C",-0.72479981,-0.56410049,-0.49169914,-0.56449941,-0.71340032,-0.47809898,-0.50820025,-0.467699,0
"YAL032C",-0.066499876,-0.15339998,-0.22999982,-0.15909934,-0.30169972,-0.39719919,-0.24530059,-0.31670059,0
"YAL033W",0.60939566,0.39219651,0.50889511,0.85230253,1.2796971,1.1333005,1.3454986,1.2431024,0
"YAL034C",-1.3275004,-1.3023009,-1.4564012,-1.536001,-1.5869996,-1.6627022,-1.817801,-1.8971995,0
"YAL034W-A",0.15280645,0.17439363,0.13330048,0.23669466,0.43630045,0.42529816,0.52890133,0.47290362,0
"YAL034C-B",0.09369538,0.078596173,0.12859696,0.21070056,0.17490492,0.30989794,0.23370403,0.31469653,0
"YAL035W",1.1515991,1.4044999,1.431901,1.2878978,0.94819714,0.99250017,0.91910359,0.98450186,0
"YAL036C",1.0989989,1.0583996,1.0791972,1.279602,1.0946009,0.8919013,0.99940116,0.92920017,0
"YAL037W",-0.71209987,-0.71179974,-0.81439982,-0.71119969,-0.36439975,-0.5772008,-0.57620027,-0.56150061,0
"YAL038W",-0.27570073,-0.21820052,0.6175994,1.2381999,1.5979983,2.2118003,2.1148001,2.1231,0
"YAL039C",-0.099599566,-0.10399947,-0.03729996,-0.11090032,-0.97549875,-1.4049012,-1.4862991,-1.5371017,0
"YAL040C",0.46230366,0.5867023,0.68530329,0.76760395,0.42000264,0.10269844,-0.089800006,0.10019724,0
"YAL041W",0.17999505,0.26920075,0.36039799,0.23989902,0.070801468,0.2810988,0.16810285,0.25329951,0
"YAL042W",0.4981998,0.62670078,0.67829731,0.87889794,1.0752999,1.2624031,1.1768015,1.0415023,0
"YAL043C",0.57229792,0.65829833,0.58540486,0.51580327,0.39219651,0.51919968,0.49399567,0.42950349,0
"YAL042C-A",-0.11030063,-0.06799932,-0.069700173,-0.1550006,-0.13419993,-0.15220028,-0.1782,-0.17949995,0
"YAL044C",0.27629417,0.48630248,0.5307999,0.40619922,0.12789736,1.1698994,1.1590995,1.0925999,0
"YAL044W-A",-0.29139955,-0.37309927,-0.1498999,-0.38259995,-0.47050085,-0.61960079,-0.59930032,-0.65200106,0
"YAL045C",-0.033500131,0.021906077,0.042896437,0.036299355,-0.079499363,0.034905902,0.096396804,0.11189934,0
"YAL046C",0.22930489,0.41200104,0.55750322,0.39479947,0.3399013,0.27209487,0.23049816,0.19369606,0
"YAL047C",-0.37329922,-0.25979947,-0.1975007,-0.15470025,0.11620504,0.20119471,0.20730566,0.17699928,0
"YAL048C",-0.24300066,0.069193456,-0.19399937,-0.17620011,-0.22259922,-0.26289995,-0.36740047,-0.41339953,0
"YAL049C",-0.80650074,-0.78919971,-0.69220079,-0.95939929,-0.95520023,-0.4919994,-0.46209964,-0.29850062,0
"YAL051W",-0.20180014,-0.053200281,-0.061899427,-0.070899844,-0.5784002,-0.79569899,-0.83530124,-0.79869988,0
"YAL053W",0.70340197,0.72099635,0.87889794,0.49279663,-0.044800295,-0.12650017,-0.15379957,-0.3476007,0
"YAL054C",-1.3305015,-0.89509979,-0.95459897,-2.8757036,-3.3562997,-2.7154953,-2.830896,-2.5592986,0
"YAL055W",-0.82420078,-0.65449916,-0.59829964,-0.76660028,-0.92970136,-0.50350084,-0.67689976,-0.33960071,0
"YAL056W",-0.23739945,-0.37870063,-0.47289963,-0.69970053,-0.90089874,-0.83539906,-0.87290032,-0.84549974,0
"YAL056C-A",0.022801,-0.019699718,-0.024600194,-0.022500254,-0.023400273,0.068602027,0.043904394,0.065006979,0
"YAL058W",0.54810119,0.54730175,0.6898001,1,0.75350185,0.63820362,0.7361026,0.69140016,0
"YAL059W",1.7603019,1.765399,1.5828016,1.8793999,1.3448001,1.1667026,1.2169018,1.1918974,0
"YAL060W",-1.4836984,-1.7243016,-1.6167995,-1.6374998,-1.7556,-1.1137012,-1.0713,-1.1654991,0
"YAL061W",-0.85729903,-0.79960111,-1.0919988,-2.5255961,-3.6889992,-4.5051007,-4.4559998,-4.3984001,0
"YAL062W",-0.68599962,-0.67369967,-0.82009919,-1.5582021,-2.6821958,-3.7239003,-3.3855996,-4.1065999,0
"YAL063C",-0.31329958,-0.25019974,-0.2346995,-0.38730026,-0.42380102,-0.4603002,-0.49580066,-0.49539995,0
"YAL064C-A",-0.060600384,-0.089600424,-0.046900182,-0.094299445,-0.057199518,-0.082299399,-0.12699951,-0.10029999,0
"YAL064W",-0.19269949,-0.19190002,-0.21479934,-0.40080029,-0.28000003,-0.43269989,-0.19200054,-0.36599973,0
"YAL064W-B",0.10100455,0.200203,0.18819834,0.14259642,-0.09940017,-0.063300633,-0.13000071,0.016296625,0
"YAL065C",-0.087699643,-0.088099842,-0.05780006,-0.027200021,0.055001245,0.13510141,0.16269988,0.14149819,0
"YAL066W",-0.17200055,-0.09940017,-0.12509919,-0.25999986,-0.1808992,-0.26069971,-0.21669925,-0.25229982,0
"YAL067C",1.0084008,1.6312021,0.69629657,-0.80999964,-0.83690064,-1.0476992,-0.84259922,-0.88759878,0
"YAL068C",-0.38710025,-0.57829896,-0.60710012,-0.62449898,-0.040900539,-0.37469958,-0.23799994,-0.37689916,0
"YAL069W",0.053903732,0.15550315,0.14429441,0.077201974,0.5126011,0.079606808,0.11410045,-0.071199917,0
"YAR002C-A",0.46839564,0.57789525,0.86849713,1.2180992,1.8055979,1.7172015,1.8303,1.884301,0
"YAR002W",0.005299373,-0.034500127,0.014598102,-0.005499925,0.006204654,-0.068100649,0.27320554,0.053000088,0
"YAR003W",0.027493802,0.040499712,-0.16350058,-0.25359951,0.29269931,0.125704,0.20690574,0.089104881,0
"YAR007C",-0.19249999,-0.21690045,-0.1730005,-0.31610057,0.48749664,0.44379758,0.53800171,0.57779859,0
"YAR008W",0.21930175,0.3387952,0.17010453,0.41230461,1.3221993,0.81230106,0.88200127,0.65839888,0
"YPR158W-A",-0.63200055,-0.14390031,-0.009999267,0.34900286,0.20400295,-0.11999945,-0.2495993,-0.14790046,0
"YAR014C",1.0913004,1.2209985,1.1189975,1.1218973,0.59230155,0.53380253,0.6059968,0.48210481,0
"YAR015W",0.72490343,1.0732993,0.88300294,0.84480342,1.5550013,1.5845008,1.6337009,1.4186002,0
"YAR018C",0.98900091,1.4168992,1.7958002,2.0660995,0.82610303,2.2750994,1.9777012,2.3790997,0
"YAR019C",-0.31850036,-0.31519921,-0.39180013,-0.66450074,-0.93189881,-1.0788989,-1.0959005,-1.1173992,0
"YAR020C",-0.85759963,-0.91080018,-1.0676999,-0.96120143,-0.63719911,-0.82329937,-0.79650062,-0.83769972,0
"YAR023C",-0.22119933,-0.21549937,-0.2125993,-0.27599941,-0.18880027,-0.042700488,-0.12530059,-0.097299684,0
"YAR027W",-0.6336,-0.6424007,-0.64139894,-0.37620055,-0.38810055,0.073806526,-0.13959969,0.14639455,0
"YAR028W",-1.9232001,-2.5130983,-2.7600008,-2.3297978,-1.4643013,-1.2644986,-1.2726005,-1.1756997,0
"YAR029W",-1.2719001,-1.5168008,-1.6695976,-1.4836984,-1.0679993,-0.99399934,-0.95740048,-0.94589893,0
"YAR030C",-0.70140033,-0.87739884,-1.0808995,-1.2306988,-0.85429907,-1.0320995,-0.68239955,-0.95980051,0
"YAR031W",-0.14189961,-0.15390068,-0.29460062,-0.030399679,0.067501049,0.6874997,0.56059758,0.89549652,0
"YAR033W",-0.28630067,-0.36079933,-0.39140079,-0.048700176,0.12129396,0.55109761,0.39860211,0.68359765,0
"YAR035W",-0.59679991,-0.41609971,-0.45950051,-1.2331996,-1.5979022,-2.6145005,-2.3748006,-3.2027047,0
"YAR042W",-0.00869966,0.041593449,0.17069423,-0.10939922,-0.29720063,-0.16670022,-0.17999999,-0.23299954,0
"YAR047C",-0.066300471,-0.14599956,-0.11300043,-0.12279917,-0.051799874,-0.078999438,-0.084699392,-0.1145006,0
"YAR050W",0.020598206,-0.011599609,0.051093629,-0.004399708,0.08120326,0.097799548,0.089796422,0.11479344,0
"YAR053W",0.35890258,0.39399821,0.44309738,0.54950161,0.31460373,0.24949389,0.384503,0.28279562,0
"YAR060C",0.4608998,0.71620076,0.48069942,0.21499513,-0.10880015,-0.2687003,-0.3323004,-0.24820039,0
"YHR212W-A",-0.026400479,-0.033699484,-0.036400108,0.012096637,-0.004200022,-0.00679955,0.023198566,-0.012200377,0
"YAR062W",-0.052299436,-0.027699959,-0.14729957,-0.15460068,-0.059000392,-0.097900173,-0.064899368,-0.034300664,0
"YAR064W",-0.02019999,-0.068100649,-0.098499366,-0.098700183,-0.065100089,-0.10939922,-0.062500423,-0.12759988,0
"YHR214W",-0.001199378,0.34520332,0.28069506,0.72580222,1.3787003,0.50119963,0.56999653,0.65480213,0
"YHR214W-A",0.30799966,0.29729708,0.57080292,1.205599,2.4664,3.0626001,3.2107006,2.6025994,0
"YAR069C",0.32130472,0.48939907,0.59450078,0.57869724,0.39440439,0.27009831,0.25639478,0.14690282,0
"YHR214C-E",-0.15909934,-0.27939932,-0.28989956,-0.31839961,-0.24109991,-0.26589956,-0.28120045,-0.32320003,0
"YHR215W",0.35420389,0.55359643,0.94430374,1.2473017,-0.1372003,0.7361026,0.67289598,0.74299786,0
"YAR073W",0.77109959,0.72169638,0.80169672,1.2135028,2.2259998,2.235099,2.2859999,2.0355007,0
"YAR075W",1.3427026,1.1978025,1.2236017,1.3212008,1.7437993,1.8030989,1.9938011,1.8725018,0
"YBL001C",-0.68160101,-0.79259937,-0.50809971,-0.59269946,-0.97199955,-1.3161006,-1.2618011,-1.1844016,0
"YBL002W",-0.17729922,-0.1707999,-0.42950015,-1.0841992,1.1520017,1.6616994,1.8986998,1.6052999,0
"YBL003C",-1.8008975,-1.5701987,-1.7342991,-2.770604,0.27560308,0.72439707,0.83749927,0.69190038,0
"YBL004W",1.1099021,1.4678012,1.2992974,1.4906985,1.2870999,0.78890283,0.72499944,0.64920156,0
"YBL005W",0.52059825,0.6059968,0.51990417,0.31080543,-0.1730005,0.097597313,0.054598458,-0.002300046,0
"YMR046C",-0.27799921,-0.12449985,-0.006699538,0.054195558,0.088996375,-0.12259968,-0.13760019,-0.073499522,0
"YGR161C-D",-1.1073991,-1.1812999,-0.90890005,-0.72960023,-1.0923002,-1.348901,-1.2503988,-1.2159015,0
"YBL006C",0.12870252,0.086498459,0.16500505,0.32210121,0.25069483,0.40579636,0.38059648,0.31750089,0
"YBL007C",-0.39259914,-0.33720022,-0.22980017,-0.14889983,-0.035200685,0.38640263,0.25290003,0.38800213,0
"YBL008W",0.22909566,0.29959635,0.21930175,0.097300651,0.083097608,-0.032499353,0.057803754,0.052193282,0
"YBL009W",0.35959988,0.60949968,0.78689741,0.80300379,1.2067995,1.1312009,1.2053988,1.1470983,0
"YBL010C",0.068395658,0.20269981,0.088697938,-0.082899787,0.049505311,-0.10170031,-0.13350027,-0.15860005,0
"YBL011W",0.32319711,0.17679508,0.27190371,0.12610063,0.2048043,0.25189478,0.19280016,0.07250373,0
"YBL012C",0.021906077,0.049895586,0.08449973,0.11049688,0.15969376,0.079797929,0.11049688,0.046393271,0
"YBL013W",0.057692867,0.15310489,0.090799244,0.040696085,0.060697661,0.000302934,-0.02019999,0.010593673,0
"YBL014C",0.73060083,0.75269722,0.56870342,0.8271036,0.46730035,0.33650049,0.25360208,0.27840114,0
"YBL015W",-2.2589015,-2.8121005,-2.9441047,-3.3462994,-3.7274006,-3.5522004,-3.7380009,-3.7010002,0
"YBL016W",0.47519905,0.55370455,0.64409623,0.66899954,0.16120405,0.02329794,-0.28529993,0.15249497,0
"YBL017C",-0.72099948,-0.90120048,-1.0511002,-1.1232988,-1.1117013,-0.60500083,-0.66490097,-0.57790051,0
"YBL018C",0.14540356,0.21419943,0.44990468,0.5654022,0.74719832,0.14690282,0.44719831,0.22919413,0
"YBL019W",-0.85200045,-1.0367005,-0.99739972,-0.84849963,-0.76010098,-0.87109955,-0.8289008,-0.69469949,0
"YBL020W",-0.20759939,-0.27190012,-0.34410051,0.086906023,0.3987006,-0.062200647,0.10130045,-0.041999251,0
"YBL021C",-0.41319972,-0.47689978,-0.52550062,-0.30689982,-0.28610011,-0.75110089,-0.7069003,-0.58439924,0
"YBL022C",-0.30229912,-0.15830056,-0.049800366,-0.74610026,-0.81300004,-0.25289966,-0.30209988,-0.21999905,0
"YBL023C",1.181497,1.2145973,1.2266996,1.6877012,1.1681028,1.0011032,0.81380376,0.89000302,0
"YBL024W",1.8723008,2.0735015,2.0721984,2.1452014,1.7876999,1.7121996,1.7263997,1.7758007,0
"YBL025W",-0.15960042,-0.3213998,-0.46710059,-0.63690071,-0.72740104,-0.76719928,-0.77219979,-0.71580097,0
"YBL026W",-0.51190048,-0.36039922,-0.27090061,-0.20670004,-0.15669949,0.072901551,0.032100843,0.18500384,0
"YBL027W",1.1333005,1.128498,0.53030052,0.86129638,0.64640232,1.172001,1.2033014,1.2131979,0
"YBL028C",0.71770164,0.85270203,0.78630361,0.87699817,0.44919686,0.34120016,0.38410508,0.30379828,0
"YBL029C-A",-0.79229952,-1.0444997,-0.81960004,-0.88229964,-1.1752989,-0.89900083,-0.86839998,-0.80530018,0
"YBL029W",-0.086199504,-0.17399951,-0.058199559,-0.35209978,-0.77729929,-0.79810021,-0.84979909,-0.45309912,0
"YBL030C",-0.53359945,-0.78509933,-1.4085006,-1.9405007,-1.8212994,-1.9865992,-1.9350013,-2.0781006,0
"YBL031W",-0.039700336,0.1044977,0.23690279,0.46279573,1.2424013,1.4268981,1.5136979,1.4254002,0
"YBL032W",-0.97059942,-0.88199916,-0.80730082,-0.43339914,0.29990108,0.84280188,0.79339652,0.9570974,0
"YBL033C",-0.32549958,-0.26879938,-0.26919921,-0.53300022,-1.1272989,-1.7715987,-1.6271994,-1.6473002,0
"YBL034C",0.51069867,0.68860113,0.64489917,0.78219886,1.1680001,0.71199701,0.7747976,0.64570166,0
"YBL035C",0.30670554,0.36649847,0.19320401,0.51049613,1.480901,0.95700079,1.030901,0.87430123,0
"YBL036C",0.32859523,0.3763015,0.40509925,0.42269588,0.007195501,0.000894194,0.020498646,0.013798105,0
"YBL037W",-0.31009973,-0.14110075,-0.15650008,-0.22699956,0.083397204,0.41019998,0.27949507,0.34950116,0
"YBL038W",-0.7743993,-0.94050074,-1.2031,-1.222101,-1.4017987,-1.4713007,-1.4240991,-1.3386006,0
"YBL039C",1.0949994,0.43389952,0.66979781,0.97979855,0.89289612,1.7618001,1.9180007,1.812798,0
"YBL040C",0.49070361,0.75119804,0.72080378,0.85420316,1.3651998,1.5774022,1.5046001,1.5790015,0
"YBL041W",0.20750558,0.31460373,0.60840239,0.44089906,0.18079712,0.80549883,0.68009927,0.67209943,0
"YBL042C",2.2470009,2.2472014,2.3520014,2.3191988,0.51889766,0.43419852,0.34859503,0.53669948,0
"YBL043W",-2.2825019,-2.4160997,-2.9054018,-3.5607007,-4.4982994,-4.0501989,-4.2427992,-4.0594011,0
"YBL044W",-0.013999813,0.017095238,-0.01639964,-0.001800163,0.074094354,0.062605293,0.07250373,0.067693781,0
"YBL045C",-1.5883004,-2.1985996,-2.8615,-2.7198038,-2.7544995,-2.3679999,-2.4889004,-2.5532991,0
"YBL046W",0.22919413,0.39780296,0.40970049,0.51889766,0.61489827,0.37760133,0.4776048,0.28859481,0
"YBL047C",-0.093000148,-0.049300176,0.037002608,-0.20260014,-0.11629943,0.52140257,0.16200374,0.19090558,0
"YBL048W",-1.7790015,-2.4465019,-2.567203,-3.2133969,-3.4870001,-4.0127007,-3.9569008,-4.1292011,0
"YBL049W",-0.89650102,-1.4665004,-1.536298,-2.4514963,-3.0052957,-3.9609009,-3.6865006,-4.048799,0
"YBL050W",-0.54639919,-0.54989889,-0.43899947,-0.55710002,-0.68040056,-0.46200028,-0.51340094,-0.41339953,0
"YBL051C",-0.63300028,-0.36029921,-0.25380076,0.28010113,0.68620019,0.50730245,0.4165047,0.64799597,0
"YBL052C",0.12419577,0.34740487,0.4690003,0.38770442,0.84040281,1.1955996,1.1056982,1.175103,0
"YBL053W",0.21940088,0.27899577,0.59539863,0.40540427,0.13910272,0.003904416,0.015197809,0.06060083,0
"YBL054W",0.98359744,1.0774003,1.0567014,1.1243017,1.0305974,0.74079807,0.74600312,0.58149587,0
"YBL055C",0.84660163,0.80719828,0.9119983,0.96600217,0.67480411,0.65250026,0.75540037,0.64720397,0
"YBL056W",-0.8558988,-0.98970138,-0.9624013,-0.76210104,-0.86270109,-0.81769925,-0.77390091,-0.72159886,0
"YBL057C",0.60350173,0.3867006,0.59120067,0.82690028,1.1350029,1.346401,1.4624974,1.2988987,0
"YBL058W",-1.2462004,-1.0837007,-1.0004011,-1.7661021,-1.548801,-0.6252999,-0.87510019,-0.55970048,0
"YBL059C-A",-1.3376012,-1.8342977,-2.0936019,-2.097999,-1.8838003,-2.0356975,-2.0425994,-2.0476008,0
"YBL059W",-0.31610057,-0.33270006,-0.41980048,-0.34499996,-0.25110087,-0.42640055,-0.4251002,-0.40730043,0
"YBL060W",-0.084399557,-0.10859948,-0.16759927,-0.44340088,-0.51449898,-0.50410021,-0.36900005,-0.38020013,0
"YBL061C",0.59550366,0.58329763,0.60009845,0.51010111,-0.036099789,-0.28150028,-0.042299315,-0.11679993,0
"YBL062W",-0.10279985,-0.10770069,-0.082600326,-0.15000074,-0.038000398,-0.063700151,-0.035900104,-0.061700656,0
"YBL063W",-0.11059966,-0.012600543,0.08519348,0.039306874,0.20980269,0.22950179,0.34999929,0.23819988,0
"YBL064C",-0.70870057,-0.93590077,-1.2238994,-1.4569991,-1.6897995,-1.4527989,-1.4565991,-1.3495001,0
"YBL065W",-0.001300454,-0.027299995,0.05830264,0.037593076,-0.05869984,-0.05839935,-0.03789968,0.0721058,0
"YBL066C",-0.20250053,-0.19179949,-0.29390005,-0.26069971,-0.34640062,-0.39089941,-0.39930017,-0.39660083,0
"YBL067C",-0.1486999,-0.058199559,-0.00709963,0.21959913,0.33870394,0.45920077,0.4808028,0.49319642,0
"YBL068W",0.95700079,0.80890396,0.83360258,1.046498,0.74210109,0.6169975,0.5153996,0.37100119,0
"YBL069W",-0.85270112,-0.82660133,-0.93069929,-0.47200087,-0.44680073,-0.43860054,-0.60549903,-0.46929996,0
"YBL070C",-0.043299484,-0.00330033,-0.055000664,0.054695693,0.25779513,0.2453983,0.27549581,0.23989902,0
"YBL071C",0.18919833,0.062605293,-0.041899738,-0.004800611,0.006305206,0.000605805,-0.071500053,-0.010300013,0
"YBL071W-A",-0.096900012,-0.19610014,-0.32079963,-0.41650017,-0.86609984,-1.5213988,-1.4934996,-1.4790981,0
"YBL072C",0.51499582,0.002896907,-0.1265994,-0.40590057,-0.25579928,-0.15059955,0.1549979,0.10170386,0
"YBL073W",0.23939804,0.27209487,0.33120073,0.41460102,0.54950161,0.50619569,0.5115996,0.53209748,0
"YBL074C",0.006204654,-0.069400411,-0.06259986,-0.068300304,-0.056599225,-0.071400001,-0.13130059,-0.10889972,0
"YBL075C",-0.59539983,-0.65159986,-0.71009945,-0.88430085,-0.83030072,-1.0865012,-1.0346006,-1.1133016,0
"YBL076C",1.1301995,1.3462024,1.7064996,2.1493992,2.0642,1.8438994,1.9042991,1.9105984,0
"YBL077W",0.10680391,0.082402848,0.028102322,0.18289566,0.23669466,0.17490492,0.14989666,0.19119625,0
"YBL078C",-1.2941017,-1.2957017,-1.1839984,-2.1034011,-2.5591966,-2.4968996,-2.5312978,-2.4012994,0
"YBL079W",0.91630084,1.0034007,0.75450273,0.78130096,0.7287042,0.59039603,0.50319606,0.4638003,0
"YBL080C",-0.96160034,-0.80680103,-0.76940101,-0.64860008,0.045904224,0.14829638,0.22249547,0.24830408,0
"YBL081W",2.066599,1.8045988,1.7657978,1.8567985,1.5374004,1.2595979,1.1999016,1.0496029,0
"YBL082C",1.0637031,1.0922007,1.2969977,1.7145005,1.6460013,1.4570006,1.4846022,1.2085984,0
"YBL083C",0.86239981,0.98039827,1.1768972,1.4223999,1.4629004,1.2409004,1.3731025,1.2462986,0
"YBL084C",-0.26450035,-0.48050037,-0.47769913,-0.49470049,-1.0059011,-1.1126993,-1.0728014,-1.1571,0
"YBL085W",-0.17759942,0.011796169,0.23829773,0.24159616,0.59369797,0.90150218,0.93029831,0.90779825,0
"YBL086C",-1.4329998,-1.6062983,-1.6941018,-1.7415993,-1.6233984,-1.5213988,-1.4104014,-1.4176984,0
"YBL087C",1.7367997,1.4097982,1.416202,1.6636998,1.475199,1.7290002,1.9244002,1.8866009,0
"YBL088C",0.13890619,0.13990165,0.090596025,0.13399745,0.26830263,0.23419472,0.22070142,0.24660266,0
"YBL089W",-0.20100058,-0.033900342,-0.1485,-0.23660032,-0.14379989,-0.006999597,-0.093000148,-0.011999608,0
"YBL090W",-0.25510009,-0.35270023,-0.32050053,-0.33609982,-0.48220024,-0.39490017,-0.41879918,-0.33200073,0
"YBL091C",-0.78870117,-0.85200045,-0.76239957,-0.60309962,-0.37570068,0.18510536,0.014598102,0.058496605,0
"YBL091C-A",-1.2786991,-1.3975013,-1.2315014,-1.218699,-1.0054,-0.24510053,-0.38610065,-0.046399506,0
"YBL092W",1.2135028,1.3250006,1.0286964,1.2882995,1.2325011,1.5032012,1.4975,1.5474992,0
"YBL093C",-0.235,-0.47120067,-0.23679921,-0.67630021,-0.73819963,-1.1670986,-1.07,-1.0580013,0
"YBL094C",0.1833023,0.17430414,0.043204499,0.051205025,0.34009506,0.26639677,0.23889689,0.11200614,0
"YBL095W",-0.53320063,-0.63099927,-0.6048999,-1.6796979,-2.1283014,-2.1406029,-2.073199,-2.0365022,0
"YBL096C",0.20080564,0.18289566,0.24399804,0.095100752,0.46140283,0.50370491,0.69669718,0.52170407,0
"YBL097W",0.10669672,0.16820557,0.26350321,0.20330141,0.1853972,0.20249922,0.1649021,0.13869653,0
"YBL098W",-0.41959977,-0.29210067,-0.16089984,0.029205495,0.57669627,0.76120016,1.141799,0.79269713,0
"YBL099W",-0.57500054,-0.83159929,-1.4016996,-1.3161006,-0.91770071,-0.93869937,-1.0925986,-1.1570003,0
"YBL100C",-0.12119934,-0.099199256,-0.078900388,-0.083000641,-0.019999568,-0.078300139,-0.009300674,-0.052499908,0
"YBL101C",-0.22119933,-0.065199705,-0.12440078,-0.41409909,-0.47540068,-0.45010021,-0.47200087,-0.42259969,0
"YFL002W-B",-0.28039948,0.41789841,0.45100269,0.68860113,0.79029662,0.18019879,0.1410011,0.15829824,0
"YDR261W-B",0.22600288,-0.1642004,0.2306949,0.49100133,0.37009731,0.19290113,0.45769935,0.24299875,0
"YBL102W",-0.32779917,-0.26690081,-0.19539954,-0.38060014,-0.18909958,0.10260439,0.074902705,0.065200044,0
"YBL103C",-0.3125003,-0.14170065,-0.65739974,-1.0006003,-0.90220045,-1.0373014,-0.86959887,-1.0974988,0
"YBL104C",0.24989431,0.33559759,0.32639928,0.49199672,0.59459632,0.50810407,0.4674047,0.40459799,0
"YBL105C",-0.31030007,-0.20599927,-0.22520071,-0.2163003,-0.24309969,-0.16509951,-0.3025998,-0.21579925,0
"YBL106C",0.5055048,0.52089992,0.44230127,0.25029463,0.48349851,0.80230077,0.69299845,0.97739717,0
"YBL107C",-0.27629991,-0.28419974,-0.26919921,-0.30089972,-0.48550098,-0.7187991,-0.67069956,-0.8001989,0
"YBL107W-A",0.079005975,-0.32600043,-0.28759967,-0.20829927,-0.27820039,-0.27099983,0.03040671,-0.038899767,0
"YBL108W",-0.04660065,-0.028700357,-0.030999485,-0.034800114,0.040205102,0.007798293,0.061499727,-0.001099753,0
"YBL109W",-0.089100057,-0.013699751,-0.13850034,-0.15860005,-0.083800074,-0.18830046,-0.15540063,-0.25910006,0
"YLL067C",-0.25829918,-0.13880051,-0.18550044,0.007295984,0.44469887,-0.071900332,0.042504263,-0.017100221,0
"YBL112C",-1.1633002,-1.0234985,-1.1930013,-0.97029977,-0.28250014,-1.0121989,-0.8558988,-1.0427986,0
"YLR467W",-1.0524012,-1.4342001,-1.5078987,-1.5189987,-0.80140024,-1.207701,-0.83270117,-1.1614015,0
"YBR001C",-0.61229999,-0.64909999,-0.9692995,-1.2886989,-1.5297016,-2.0950004,-2.1927968,-2.0791976,0
"YBR002C",0.35929626,0.49430296,0.53539608,0.67080409,0.76710388,0.59729756,0.53580414,0.72629937,0
